File,First Sentence
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD17L__25-02-21-10-35-01_transcript.txt, čim uplata on će doneti robu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD18L__25-02-21-10-35-10_transcript.txt, nazvaću te ponovo prilike za sat vremena
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD19L__25-02-21-10-35-22_transcript.txt, otvara se igraonica preko puta naše zgrade
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD20L__25-02-21-10-35-33_transcript.txt, javio si otišao je na aerodrom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD21L__25-02-21-10-35-45_transcript.txt, samo što sam stigao odmah sam morao da odem na sastanak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD22L__25-02-21-10-35-58_transcript.txt, Taman sam krenula da učim a on me pozvao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD23L__25-02-21-10-36-10_transcript.txt, Strpi se još malo samo što nismo stigli
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD24L__25-02-21-10-36-22_transcript.txt, novi klinci su nemogući niko ih ne može obuzdati
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD25L__25-02-21-10-36-36_transcript.txt, Milan je ušao u voz nekoliko minuta pre nas
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD26L__25-02-21-10-36-57_transcript.txt, gotovo je sve možete početi sa pričom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD27L__25-02-21-10-37-11_transcript.txt, završi sa sastankom Javiće nam rezultate
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD28L__25-02-21-10-37-29_transcript.txt, malopre sam se čuo sa njim i on mi je sve ispričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD29L__25-02-21-10-37-42_transcript.txt, kada se vratim sa posla svrati ću do tebe
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_0_MMMD30L__25-02-21-10-37-54_transcript.txt, Upravo su mi javili da treba da dođem sutra
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK04L__25-02-21-10-38-06_transcript.txt, napisaću mu pismo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK05L__25-02-21-10-38-14_transcript.txt, Krećemo za 5 minuta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK06L__25-02-21-10-38-24_transcript.txt, doći će nam Mirko na ručak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK07L__25-02-21-10-38-34_transcript.txt, još malo pa će izbori
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK08L__25-02-21-10-38-43_transcript.txt, sutra će biti 27 hladu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK09L__25-02-21-10-38-54_transcript.txt, doveče žurka kod komšija
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK10L__25-02-21-10-39-05_transcript.txt, dva dana počinje škola
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK11L__25-02-21-10-39-17_transcript.txt, od sutra smo sami u kući
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK12L__25-02-21-10-39-27_transcript.txt, Petar će doći u ponedeljak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK13L__25-02-21-10-39-37_transcript.txt, moj sin ide prvi put sam na more
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK14L__25-02-21-10-39-47_transcript.txt, Dimitrije su opet počele
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK15L__25-02-21-10-39-57_transcript.txt, pojavio se u poslednjem trenutku
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK16L__25-02-21-10-40-08_transcript.txt, Sanjala sam te pre neku noć
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK17L__25-02-21-10-40-17_transcript.txt, premijer je obećao više standard
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK18L__25-02-21-10-40-28_transcript.txt, Opet je pijaca poskupela
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK19L__25-02-21-10-40-37_transcript.txt, večeras najavljuju padavine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK20L__25-02-21-10-40-47_transcript.txt, ponedeljak putujem na frušku Goru
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK21L__25-02-21-10-40-57_transcript.txt, makar to važi još dva dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK22L__25-02-21-10-41-07_transcript.txt, naše kolo su stare 10 godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK23L__25-02-21-10-41-19_transcript.txt, sutra se završava školska godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK24L__25-02-21-10-41-30_transcript.txt, preko leta ću biti u Beogradu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK25L__25-02-21-10-41-40_transcript.txt, nismo u kontaktu više od godinu dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK26L__25-02-21-10-41-51_transcript.txt, u braku smo već devet godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK27L__25-02-21-10-42-02_transcript.txt, dosta minuta počinje predstava
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK28L__25-02-21-10-42-13_transcript.txt, večeras mora da donese odluku njegovoj smeni
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK29L__25-02-21-10-43-42_transcript.txt, to je fer i novine su pisali danima
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/0/1_0_1_MMMK30L__25-02-21-10-43-53_transcript.txt, dugo vremena nismo ovde bili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd01n__24-02-21-01-54-38_transcript.txt, imamo još četiri minuta vremena do polaska voza
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd02n__24-02-21-01-54-54_transcript.txt, sutra ćemo se raditi ponovo pa šta ispadne
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd03n__24-02-21-01-55-10_transcript.txt, kompjuteri su promenili u sve oblasti i bez njih se ne može
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd04n__24-02-21-02-25-19_transcript.txt, otišao je na stranstvo prošle godine i još se nije vratio
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd05n__24-02-21-02-25-42_transcript.txt, telefoni zvone po ceo dan i tebe traže
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd06n__24-02-21-02-25-55_transcript.txt, popeti se na drva ako mi mama ne vidi
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd07n__24-02-21-02-26-08_transcript.txt, uvek se setim tebe kad čujem tu pesmu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd08n__24-02-21-02-26-21_transcript.txt, Da da tako smo se dogovorili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd09n__24-02-21-02-26-39_transcript.txt, znam znam Pa meni je 100 puta pričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd10n__24-02-21-02-26-53_transcript.txt, Mirjana je rekla da će se uskoro vratiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd11n__24-02-21-02-27-09_transcript.txt, na more Idemo u isto mesto kao i prošle godine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd12n__24-02-21-02-27-22_transcript.txt, na slavi ćemo imati preko 50 gostiju
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd13n__24-02-21-02-27-34_transcript.txt, raspitaću se pa ću ti javiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd14n__24-02-21-02-27-46_transcript.txt, naoblačilo se kao da će padati kiša
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd15n__24-02-21-02-28-00_transcript.txt, sećam se kada je ulicom Kneza Miloša saobraćao tramvaj
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd16n__24-02-21-02-28-17_transcript.txt, na mlade najviše uticaj imaju lica sve strane kao i sporta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd17n__24-02-21-02-28-33_transcript.txt, čim uplatim on će doneti robu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd18n__24-02-21-02-28-45_transcript.txt, nazvat ću ti ponovo otprilike za sat vremena
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd19n__24-02-21-02-28-58_transcript.txt, Otvori se igraonica preko puta naše zgrade
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd20n__24-02-21-02-29-10_transcript.txt, javio se i otišao je na aerodrom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd21n__24-02-21-02-29-23_transcript.txt, samo što sam stigao odmah sam morao da odem na sastanak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd22n__24-02-21-02-29-37_transcript.txt, Taman sam krenula da učim a on me pozvao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd23n__24-02-21-02-29-51_transcript.txt, Strpi se još malo samo što nismo stigli
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd24n__24-02-21-02-30-04_transcript.txt, novi klinci su nemogući niko ih ne može obuzdati
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd25n__24-02-21-02-30-18_transcript.txt, Milan je ušao u voz nekoliko minuta pre nas
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd26n__24-02-21-02-30-32_transcript.txt, gotovo je sve možete početi sa pričom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd27n__24-02-21-02-30-45_transcript.txt, kada završi sa sastankom Javiće nam rezultate
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd28n__24-02-21-02-30-59_transcript.txt, malopre sam se čuo sa njim i on mi je sve ispričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd29n__24-02-21-02-31-15_transcript.txt, kada se vratim sa posla svratiću do tebe
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_0_mvmd30n__24-02-21-02-31-28_transcript.txt, Upravo su mi javili da treba da dođem sutra
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk01n__24-02-21-02-31-39_transcript.txt, Vratiću se brzo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk02n__24-02-21-02-31-49_transcript.txt, ne idem danas u školu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk03n__24-02-21-02-31-59_transcript.txt, prespava ću ceo dan
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk04n__24-02-21-02-32-08_transcript.txt, napisaću mu pismo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk05n__24-02-21-02-32-17_transcript.txt, Krećemo za 5 minuta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk06n__24-02-21-02-32-29_transcript.txt, doći će nam Mirko na ručak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk07n__24-02-21-02-32-39_transcript.txt, još malo pa će izbori
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk08n__24-02-21-02-32-49_transcript.txt, sutra će biti 27 u hladu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk09n__24-02-21-02-33-02_transcript.txt, doveče žurka kod komšija
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk10n__24-02-21-02-33-12_transcript.txt, za dva dana počinje škola
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk11n__24-02-21-02-33-22_transcript.txt, od sutra smo sami u kući
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk12n__24-02-21-02-33-31_transcript.txt, Petar će doći u ponedeljak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk13n__24-02-21-02-33-42_transcript.txt, moj sin ide prvi put sam na more
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk14n__24-02-21-02-33-54_transcript.txt, demonstracije su opet počele
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk15n__24-02-21-02-34-05_transcript.txt, pojavio se u poslednjem trenutku
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk16n__24-02-21-02-34-20_transcript.txt, Sanjala sam te pre neku noć
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk17n__24-02-21-02-34-49_transcript.txt, premijer je obećao viši standard
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk18n__24-02-21-02-34-59_transcript.txt, Opet je pijaca poskupela
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk19n__24-02-21-02-35-09_transcript.txt, večeras najavljuju padavine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk20n__24-02-21-02-35-20_transcript.txt, u ponedeljak putujem na frušku Goru
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk21n__24-02-21-02-35-31_transcript.txt, moja karta važi još dva dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk22n__24-02-21-02-35-41_transcript.txt, naša kola su stare 10 godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk23n__24-02-21-02-35-54_transcript.txt, sutra se završava školska godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk24n__24-02-21-02-36-05_transcript.txt, preko leta ću biti u Beogradu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk25n__24-02-21-02-36-16_transcript.txt, nismo u kontaktu više od godinu dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk26n__24-02-21-02-36-28_transcript.txt, u braku smo već devet godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk27n__24-02-21-02-36-41_transcript.txt, zas minuta počinje predstava
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk28n__24-02-21-02-36-55_transcript.txt, večeras mora da donese odluku o njegovoj smeni
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk29n__24-02-21-02-37-09_transcript.txt, putuje fer i novine su pisale danima
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/1/2_1_1_mvmk30n__24-02-21-02-37-21_transcript.txt, dugo vremena nismo ovde bili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd01r__25-02-21-10-15-25_transcript.txt, imamo još četiri minuta vremena do polaska voza
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd02r__25-02-21-10-15-43_transcript.txt, sutra ćemo sve raditi ponovo pa šta ispadne
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd03r__25-02-21-10-15-58_transcript.txt, kompjuteri su prodali u sve oblasti i bez njih se ne može
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd04r__25-02-21-10-16-18_transcript.txt, otišao u inostranstvo prošle godine i još se nije vratio
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd05r__25-02-21-10-17-40_transcript.txt, telefoni smanji po ceo dan i tebe traže
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd06r__25-02-21-10-17-54_transcript.txt, popiće se na drvo ako mi mama ne vidi
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd07r__25-02-21-10-18-09_transcript.txt, uvek se setim tebe kad čujem tu pesmu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd08r__25-02-21-10-18-22_transcript.txt, Da da tako smo se dogovorili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd09r__25-02-21-10-18-45_transcript.txt, znam znam Pa meni je 100 puta pričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd10r__25-02-21-10-18-58_transcript.txt, Mirjana je rekla da će se uskoro vratiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd11r__25-02-21-10-19-12_transcript.txt, na more Idemo u isto mesto kao i prošle godine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd12r__25-02-21-10-19-26_transcript.txt, ne slavi ćemo imati preko 50 gostiju
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd13r__25-02-21-10-19-40_transcript.txt, raspitaću se pa ću ti javiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd14r__25-02-21-10-19-52_transcript.txt, naoblačilo se Kada će padati kiša
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd15r__25-02-21-10-20-11_transcript.txt, sećam se kad je ulicom Kneza Miloša saobraćao tramvaj
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd16r__25-02-21-10-20-28_transcript.txt, ne Mladen najviše uticaj imaju lice sa estrade kao i sporta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd17r__25-02-21-10-20-44_transcript.txt, čim uplatim će doneti robu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd18r__25-02-21-10-20-57_transcript.txt, nazvat ću te ponovo otprilike za sat vremena
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd19r__25-02-21-10-21-12_transcript.txt, Otvori se igraonica preko puta naše zgrade
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd20r__25-02-21-10-21-26_transcript.txt, Javi joj se i ova tiše na aerodrom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd21r__25-02-21-10-21-45_transcript.txt, samo što sam stigao odmah sam morao da odem na sastanak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd22r__25-02-21-10-22-00_transcript.txt, Taman sam krenula da učim a on me pozvao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd23r__25-02-21-10-22-13_transcript.txt, Strpi se još malo samo što nismo stigli
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd24r__25-02-21-10-22-38_transcript.txt, ovi klinci su nemoguć i niko ih ne može obuzdati
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd25r__25-02-21-10-22-53_transcript.txt, Milan je ušao u voz nekoliko minuta pre nas
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd26r__25-02-21-10-23-09_transcript.txt, gotovo je sve možete početi sa pričom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd27r__25-02-21-10-23-24_transcript.txt, Kada završiš sa sastankom Javiće nam rezultate
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd28r__25-02-21-10-23-39_transcript.txt, malopre sam se čuo sa njim i on mi je sve ispričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd29r__25-02-21-10-23-54_transcript.txt, kad se vratim sa posla svrati ću da tebe
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_0_okzd30r__25-02-21-10-24-08_transcript.txt, Upravo su mi javili da treba da dođem sutra
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk04r__25-02-21-10-24-22_transcript.txt, napisaću mu pismo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk05r__25-02-21-10-24-32_transcript.txt, Krećemo za 5 minuta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk06r__25-02-21-10-24-44_transcript.txt, doći će nam i Mirko na ručak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk07r__25-02-21-10-24-55_transcript.txt, još malo pa će izbori
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk08r__25-02-21-10-25-06_transcript.txt, sutra će biti 27 u hladu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk09r__25-02-21-10-25-18_transcript.txt, dovečer žurka kod komšija
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk10r__25-02-21-10-25-30_transcript.txt, za dva dana počinje škola
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk11r__25-02-21-10-25-41_transcript.txt, od sutra smo sami u kući
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk12r__25-02-21-10-25-53_transcript.txt, pet će doći u ponedeljak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk13r__25-02-21-10-26-05_transcript.txt, moj sin ide prvi put celome more
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk14r__25-02-21-10-26-18_transcript.txt, demonstracije su opet počele
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk15r__25-02-21-10-26-32_transcript.txt, pojavio se u poslednjem trenutku
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk16r__25-02-21-10-26-44_transcript.txt, Sanjala sam te pre neku noć
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk17r__25-02-21-10-26-56_transcript.txt, primirje obično viši standard
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk18r__25-02-21-10-27-07_transcript.txt, Opet ti pijace poskupela
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk19r__25-02-21-10-27-19_transcript.txt, večeras najavljuju padavine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk20r__25-02-21-10-27-32_transcript.txt, u ponedeljak putujem na frušku Goru
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk21r__25-02-21-10-27-44_transcript.txt, moja karta važi još dva dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk22r__25-02-21-10-27-55_transcript.txt, naša kola za stare 10 godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk23r__25-02-21-10-28-07_transcript.txt, su ti se završava školska godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk24r__25-02-21-10-28-19_transcript.txt, preko leta ću biti u Beogradu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk25r__25-02-21-10-28-31_transcript.txt, Mi smo u kontaktu više od godinu dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0001/2/3_2_1_okzk26r__25-02-21-10-28-44_transcript.txt, u braku smo već devet godina
